Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,rushing_yds,rushing_tds,rushing_twoptm,rushing_yds_FF_pts,rushing_tds_FF_pts,rushing_twoptm_FF_pts,total_FF_pts
55852,SD,HOU,Mon,9,9,2013,1,A.Foster,HOU,False,57,0,0,5.0,0.0,0.0,5.0
55852,SD,HOU,Mon,9,9,2013,1,S.Keo,HOU,False,8,0,0,0.0,0.0,0.0,0.0
55853,NE,NYJ,Thu,9,12,2013,2,T.Brady,NE,True,-2,0,0,-1.0,0.0,0.0,-1.0
55853,NE,NYJ,Thu,9,12,2013,2,J.Edelman,NE,True,4,0,0,0.0,0.0,0.0,0.0
55853,NE,NYJ,Thu,9,12,2013,2,S.Ridley,NE,True,40,0,0,4.0,0.0,0.0,4.0
55853,NE,NYJ,Thu,9,12,2013,2,L.Blount,NE,True,11,0,0,1.0,0.0,0.0,1.0
55853,NE,NYJ,Thu,9,12,2013,2,L.Washington,NE,True,1,0,0,0.0,0.0,0.0,0.0
55853,NE,NYJ,Thu,9,12,2013,2,G.Smith,NYJ,False,17,0,0,1.0,0.0,0.0,1.0
55853,NE,NYJ,Thu,9,12,2013,2,T.Bohanon,NYJ,False,12,0,0,1.0,0.0,0.0,1.0
55853,NE,NYJ,Thu,9,12,2013,2,B.Powell,NYJ,False,48,1,0,4.0,6.0,0.0,10.0
55853,NE,NYJ,Thu,9,12,2013,2,C.Ivory,NYJ,False,52,0,0,5.0,0.0,0.0,5.0
55854,ATL,STL,Sun,9,15,2013,2,J.Snelling,ATL,True,19,1,0,1.0,6.0,0.0,7.0
55854,ATL,STL,Sun,9,15,2013,2,J.Rodgers,ATL,True,17,0,0,1.0,0.0,0.0,1.0
55854,ATL,STL,Sun,9,15,2013,2,S.Jackson,ATL,True,0,0,0,0.0,0.0,0.0,0.0
55854,ATL,STL,Sun,9,15,2013,2,S.Bradford,STL,False,25,0,0,2.0,0.0,0.0,2.0
55854,ATL,STL,Sun,9,15,2013,2,T.Austin,STL,False,8,0,0,0.0,0.0,0.0,0.0
55854,ATL,STL,Sun,9,15,2013,2,B.Cunningham,STL,False,0,0,0,0.0,0.0,0.0,0.0
55854,ATL,STL,Sun,9,15,2013,2,I.Pead,STL,False,1,0,0,0.0,0.0,0.0,0.0
55854,ATL,STL,Sun,9,15,2013,2,D.Richardson,STL,False,35,0,0,3.0,0.0,0.0,3.0
55855,BAL,CLE,Sun,9,15,2013,2,J.Flacco,BAL,True,6,0,0,0.0,0.0,0.0,0.0
55855,BAL,CLE,Sun,9,15,2013,2,R.Rice,BAL,True,36,0,0,3.0,0.0,0.0,3.0
55855,BAL,CLE,Sun,9,15,2013,2,B.Pierce,BAL,True,57,1,0,5.0,6.0,0.0,11.0
55855,BAL,CLE,Sun,9,15,2013,2,B.Weeden,CLE,False,7,0,0,0.0,0.0,0.0,0.0
55855,BAL,CLE,Sun,9,15,2013,2,T.Richardson,CLE,False,58,0,0,5.0,0.0,0.0,5.0
55856,BUF,CAR,Sun,9,15,2013,2,E.Manuel,BUF,True,13,0,0,1.0,0.0,0.0,1.0
