Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,receiving_rec_FF_pts,receiving_yds_FF_pts,receiving_tds_FF_pts,receiving_twoptm_FF_pts,total_FF_pts
55847,PIT,TEN,Sun,9,8,2013,1,A.Brown,PIT,True,5,71,0,0,7.0,5.0,0.0,0.0,12.0
55847,PIT,TEN,Sun,9,8,2013,1,E.Sanders,PIT,True,7,57,0,0,5.0,7.0,0.0,0.0,12.0
55847,PIT,TEN,Sun,9,8,2013,1,J.Cotchery,PIT,True,4,34,1,0,3.0,4.0,6.0,0.0,13.0
55847,PIT,TEN,Sun,9,8,2013,1,D.Johnson,PIT,True,1,11,0,0,1.0,1.0,0.0,0.0,2.0
55847,PIT,TEN,Sun,9,8,2013,1,D.Walker,TEN,False,3,40,0,0,4.0,3.0,0.0,0.0,7.0
55847,PIT,TEN,Sun,9,8,2013,1,D.Williams,TEN,False,1,13,0,0,1.0,1.0,0.0,0.0,2.0
55847,PIT,TEN,Sun,9,8,2013,1,N.Washington,TEN,False,4,46,0,0,4.0,4.0,0.0,0.0,8.0
55847,PIT,TEN,Sun,9,8,2013,1,K.Britt,TEN,False,1,15,0,0,1.0,1.0,0.0,0.0,2.0
55847,PIT,TEN,Sun,9,8,2013,1,K.Wright,TEN,False,2,11,0,0,1.0,2.0,0.0,0.0,3.0
55848,STL,ARI,Sun,9,8,2013,1,T.Austin,STL,True,6,41,0,0,4.0,6.0,0.0,0.0,10.0
55848,STL,ARI,Sun,9,8,2013,1,D.Richardson,STL,True,5,33,0,0,3.0,5.0,0.0,0.0,8.0
55848,STL,ARI,Sun,9,8,2013,1,C.Givens,STL,True,2,27,0,0,2.0,2.0,0.0,0.0,4.0
55848,STL,ARI,Sun,9,8,2013,1,B.Quick,STL,True,1,16,0,0,1.0,1.0,0.0,0.0,2.0
55848,STL,ARI,Sun,9,8,2013,1,L.Kendricks,STL,True,3,25,0,0,2.0,3.0,0.0,0.0,5.0
55848,STL,ARI,Sun,9,8,2013,1,J.Cook,STL,True,7,141,2,0,14.0,7.0,12.0,0.0,33.0
55848,STL,ARI,Sun,9,8,2013,1,A.Pettis,STL,True,3,16,0,0,1.0,3.0,0.0,0.0,4.0
