Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,fumbles_rec,fumbles_yds,fumbles_rec_tds,fumbles_lost,fumble_lost_FF_pts,fumble_tds_FF_pts,total_FF_pts
55868,CIN,PIT,Mon,9,16,2013,2,A.Jones,CIN,True,0,0,0,0,0.0,0.0,0.0
55868,CIN,PIT,Mon,9,16,2013,2,D.Paulson,PIT,False,0,0,0,1,-2.0,0.0,-2.0
55869,PHI,KC,Thu,9,19,2013,3,M.Vick,PHI,True,0,0,0,1,-2.0,0.0,-2.0
55869,PHI,KC,Thu,9,19,2013,3,J.Kelce,PHI,True,0,-1,0,1,-2.0,0.0,-2.0
55869,PHI,KC,Thu,9,19,2013,3,D.Johnson,PHI,True,0,0,0,1,-2.0,0.0,-2.0
55869,PHI,KC,Thu,9,19,2013,3,C.Gray,KC,False,0,0,0,0,0.0,0.0,0.0
55869,PHI,KC,Thu,9,19,2013,3,J.Houston,KC,False,0,0,0,0,0.0,0.0,0.0
55870,BAL,HOU,Sun,9,22,2013,3,J.Flacco,BAL,True,0,0,0,0,0.0,0.0,0.0
55870,BAL,HOU,Sun,9,22,2013,3,M.Yanda,BAL,True,0,0,0,0,0.0,0.0,0.0
55871,CIN,GB,Sun,9,22,2013,3,A.Dalton,CIN,True,0,0,0,1,-2.0,0.0,-2.0
55871,CIN,GB,Sun,9,22,2013,3,B.Green-Ellis,CIN,True,0,0,0,1,-2.0,0.0,-2.0
55871,CIN,GB,Sun,9,22,2013,3,J.Gresham,CIN,True,0,0,0,1,-2.0,0.0,-2.0
55871,CIN,GB,Sun,9,22,2013,3,B.Tate,CIN,True,0,0,0,0,0.0,0.0,0.0
55871,CIN,GB,Sun,9,22,2013,3,T.Mays,CIN,True,0,0,0,0,0.0,0.0,0.0
55871,CIN,GB,Sun,9,22,2013,3,R.Nelson,CIN,True,0,6,0,0,0.0,0.0,0.0
55871,CIN,GB,Sun,9,22,2013,3,T.Newman,CIN,True,0,58,0,0,0.0,0.0,0.0
55871,CIN,GB,Sun,9,22,2013,3,C.Peerman,CIN,True,0,0,0,0,0.0,0.0,0.0
55871,CIN,GB,Sun,9,22,2013,3,J.Franklin,GB,False,0,0,0,1,-2.0,0.0,-2.0
55871,CIN,GB,Sun,9,22,2013,3,J.Ross,GB,False,0,0,0,1,-2.0,0.0,-2.0
55871,CIN,GB,Sun,9,22,2013,3,M.Jennings,GB,False,0,24,0,0,0.0,0.0,0.0
55871,CIN,GB,Sun,9,22,2013,3,B.Jones,GB,False,0,3,0,0,0.0,0.0,0.0
55871,CIN,GB,Sun,9,22,2013,3,A.Hawk,GB,False,0,0,0,0,0.0,0.0,0.0
55873,DAL,STL,Sun,9,22,2013,3,D.Murray,DAL,True,0,0,0,0,0.0,0.0,0.0
55873,DAL,STL,Sun,9,22,2013,3,D.Harris,DAL,True,0,0,0,1,-2.0,0.0,-2.0
