player_id,player_name,player_position,player_team,player_bye,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
359.p.28548,Jesse James,TE,Pit,8,8.10,11.90,3.00,9.50,16.30,3.30,3.80,0.00,0.00
359.p.26701,Marquise Goodwin,,,,0.00,19.20,1.60,2.20,9.30,4.20,19.30,0.00,0.00
359.p.26824,Ryan Griffin,TE,Hou,9,3.70,1.50,13.20,8.40,2.80,6.10,3.30,6.40,0.00
359.p.100034,Houston,DEF,Hou,9,8.00,14.00,1.00,10.00,1.00,5.00,0.00,5.00,0.00
359.p.26483,Case Keenum,QB,LA,8,4.20,10.06,14.70,18.04,8.84,30.54,11.94,0.00,0.00
359.p.24961,Charles Clay,,,,6.00,7.70,0.00,9.70,12.30,10.20,4.90,2.60,0.00
359.p.8982,Pierre Garcon,WR,Was,9,11.10,4.50,10.90,7.90,16.60,13.70,4.20,12.70,0.00
359.p.8916,Jacob Tamme,,,,11.10,18.50,5.80,8.30,1.10,3.60,8.70,3.90,0.00
359.p.29070,Adam Humphries,WR,TB,6,7.10,12.70,19.00,1.40,4.10,0.00,4.30,8.80,11.50
359.p.29269,Hunter Henry,,,,3.00,0.00,10.20,16.10,16.40,20.30,2.60,3.40,0.00
359.p.7776,DeAngelo Williams,,,,35.10,23.20,8.40,7.90,0.00,1.00,0.00,0.00,0.00
359.p.26652,Cordarrelle Patterson,WR,Min,6,2.40,-0.20,1.80,9.00,14.60,0.00,19.70,6.60,0.00
359.p.25885,Blair Walsh,K,Min,6,16.00,6.00,6.00,7.00,7.00,0.00,5.00,4.00,0.00
359.p.25881,Greg Zuerlein,K,LA,8,0.00,10.00,9.00,5.00,15.00,4.00,4.00,0.00,0.00
359.p.27737,Quincy Enunwa,WR,NYJ,11,18.40,15.20,7.70,12.00,9.10,7.20,15.30,19.30,0.00
