Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,passing_att,passing_incmp,passing_cmp,passing_tds,passing_int,passing_yds,passing_twoptm,passing_yds_FF_pts,passing_tds_FF_pts,passing_twopt_FF_pts,intercept_FF_pts,total_FF_pts
55888,DET,CHI,Sun,9,29,2013,4,M.Stafford,DET,True,35,0,23,1,1,242,0,9.0,4.0,0.0,-1.0,12.0
55888,DET,CHI,Sun,9,29,2013,4,J.Cutler,CHI,False,47,0,27,2,3,317,2,12.0,8.0,4.0,-3.0,21.0
55889,HOU,SEA,Sun,9,29,2013,4,M.Schaub,HOU,True,49,0,31,2,2,355,0,14.0,8.0,0.0,-2.0,20.0
55889,HOU,SEA,Sun,9,29,2013,4,R.Wilson,SEA,False,23,0,12,0,1,123,0,4.0,0.0,0.0,-1.0,3.0
55890,JAC,IND,Sun,9,29,2013,4,B.Gabbert,JAC,True,32,0,17,0,3,179,0,7.0,0.0,0.0,-3.0,4.0
55890,JAC,IND,Sun,9,29,2013,4,M.Hasselbeck,IND,False,3,0,2,0,0,37,0,1.0,0.0,0.0,0.0,1.0
55890,JAC,IND,Sun,9,29,2013,4,A.Luck,IND,False,36,0,22,2,1,260,0,10.0,8.0,0.0,-1.0,17.0
55891,KC,NYG,Sun,9,29,2013,4,A.Smith,KC,True,41,0,24,3,2,288,0,11.0,12.0,0.0,-2.0,21.0
55891,KC,NYG,Sun,9,29,2013,4,E.Manning,NYG,False,37,0,18,1,1,217,0,8.0,4.0,0.0,-1.0,11.0
55892,MIN,PIT,Sun,9,29,2013,4,M.Cassel,MIN,True,25,0,16,2,0,248,0,9.0,8.0,0.0,0.0,17.0
55892,MIN,PIT,Sun,9,29,2013,4,B.Roethlisberger,PIT,False,51,0,36,1,1,383,0,15.0,4.0,0.0,-1.0,18.0
55893,TB,ARI,Sun,9,29,2013,4,M.Glennon,TB,True,43,0,24,1,2,193,0,7.0,4.0,0.0,-2.0,9.0
55893,TB,ARI,Sun,9,29,2013,4,C.Palmer,ARI,False,38,0,21,1,2,248,0,9.0,4.0,0.0,-2.0,11.0
55894,TEN,NYJ,Sun,9,29,2013,4,J.Locker,TEN,True,24,0,18,3,0,149,0,5.0,12.0,0.0,0.0,17.0
55894,TEN,NYJ,Sun,9,29,2013,4,R.Fitzpatrick,TEN,True,8,0,3,1,0,108,0,4.0,4.0,0.0,0.0,8.0
55894,TEN,NYJ,Sun,9,29,2013,4,G.Smith,NYJ,False,34,0,23,1,2,289,0,11.0,4.0,0.0,-2.0,13.0
55895,DEN,PHI,Sun,9,29,2013,4,B.Osweiler,DEN,True,3,0,2,0,0,10,0,0.0,0.0,0.0,0.0,0.0
55895,DEN,PHI,Sun,9,29,2013,4,P.Manning,DEN,True,34,0,28,4,0,327,0,13.0,16.0,0.0,0.0,29.0
55895,DEN,PHI,Sun,9,29,2013,4,N.Foles,PHI,False,4,0,3,1,0,49,0,1.0,4.0,0.0,0.0,5.0
55895,DEN,PHI,Sun,9,29,2013,4,M.Vick,PHI,False,27,0,14,0,0,248,0,9.0,0.0,0.0,0.0,9.0
55896,OAK,WAS,Sun,9,29,2013,4,M.Flynn,OAK,True,32,0,21,1,1,227,0,9.0,4.0,0.0,-1.0,12.0
55896,OAK,WAS,Sun,9,29,2013,4,R.Griffin,WAS,False,31,0,18,1,0,227,0,9.0,4.0,0.0,0.0,13.0
55897,SD,DAL,Sun,9,29,2013,4,P.Rivers,SD,True,42,0,35,3,1,401,0,16.0,12.0,0.0,-1.0,27.0
55897,SD,DAL,Sun,9,29,2013,4,T.Romo,DAL,False,37,0,27,2,0,244,0,9.0,8.0,0.0,0.0,17.0
55898,ATL,NE,Sun,9,29,2013,4,M.Ryan,ATL,True,54,0,34,2,1,421,0,16.0,8.0,0.0,-1.0,23.0
